example,plain_example,type,group_index,category_id,category_name,category_type,rule_id,rule_name,error_type
"<example correction=""English-speaking|British|American"" type=""incorrect"">The <marker>Anglo-Saxon</marker> group of agencies are…</example>",The Anglo-Saxon group of agencies are…,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_ANGLO_SAXON,Anglo-Saxon,
"<example correction=""lead|head"" type=""incorrect"">The Commission is looking for a head of sector to <marker>animate</marker> 12 staff members.</example>",The Commission is looking for a head of sector to animate 12 staff members.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_ANIMATE,animate,
"<example correction=""cyber crime"" type=""incorrect"">These threats are outlined in the framework of the Commission <marker>anti-cyber crime</marker> policy.</example>",These threats are outlined in the framework of the Commission anti-cyber crime policy.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_ANTI,anti-,
"<example correction=""coordinate|link together|connect|organise|structure"" type=""incorrect"">The European Parliament… urges Turkey to <marker>articulate</marker> with the Iraqi Government, and other neighbours, …</example>","The European Parliament… urges Turkey to articulate with the Iraqi Government, and other neighbours, …",group,0,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_ARTICULATE_ARTICULATION,articulate/articulation,
"<example correction=""coordination|link|structure"" type=""incorrect"">This includes an appropriate <marker>articulation</marker> with the Cohesion policy funds.</example>",This includes an appropriate articulation with the Cohesion policy funds.,group,1,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_ARTICULATE_ARTICULATION,articulate/articulation,
"<example correction=""attend|be present at"" type=""incorrect"">Officials of the Commission <marker>assist at</marker> the meetings of the Committee and the working groups.</example>",Officials of the Commission assist at the meetings of the Committee and the working groups.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_ASSIST_AT,assist at,
"<example correction=""certificate"" type=""incorrect"">… is a necessary and sufficient condition for an <marker>attestation</marker> of conformity.</example>",… is a necessary and sufficient condition for an attestation of conformity.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_ATTESTATION,attestation,
"<example correction=""allocate|grant|give|award|assign"" type=""incorrect"">The contracting authority can <marker>attribute</marker> a contract to the company if…</example>",The contracting authority can attribute a contract to the company if…,group,0,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_ATTRIBUTE,attribute to,
"<example correction=""allocated|granted|given|awarded|assigned"" type=""incorrect"">The contracts were <marker>attributed</marker> on 21 March.</example>",The contracts were attributed on 21 March.,group,1,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_ATTRIBUTE,attribute to,
"<example correction="""" type=""incorrect"">… shall be calculated by applying the co-financing rate for each priority <marker>axis</marker> laid down by the Commission decision.</example>",… shall be calculated by applying the co-financing rate for each priority axis laid down by the Commission decision.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_AXIS,axis,
"<example correction=""service pass|tag|clock in|clock out|lunch card"" type=""incorrect"">New topping up system for your children's <marker>badges</marker> at the European School.</example>",New topping up system for your children's badges at the European School.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_BADGE,"badge (badge, to badge)",
"<example correction=""cattle"" type=""incorrect"">… as regards model certificates relating to the importation of <marker>bovine</marker> animals for slaughter and…</example>",… as regards model certificates relating to the importation of bovine animals for slaughter and…,group,0,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_BOVINE_OVINE_CAPRINE_PORCINE_ASININE_ANIMALS,"bovine, ovine, caprine, porcine and asinine animals",
"<example correction=""sheep"" type=""incorrect"">… as regards model certificates relating to the importation of <marker>ovine</marker> animals for slaughter and…</example>",… as regards model certificates relating to the importation of ovine animals for slaughter and…,group,1,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_BOVINE_OVINE_CAPRINE_PORCINE_ASININE_ANIMALS,"bovine, ovine, caprine, porcine and asinine animals",
"<example correction=""goats"" type=""incorrect"">… and <marker>caprine</marker> fresh meat.</example>",… and caprine fresh meat.,group,2,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_BOVINE_OVINE_CAPRINE_PORCINE_ASININE_ANIMALS,"bovine, ovine, caprine, porcine and asinine animals",
"<example correction=""pigs"" type=""incorrect"">… and <marker>porcine</marker> fresh meat.</example>",… and porcine fresh meat.,group,3,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_BOVINE_OVINE_CAPRINE_PORCINE_ASININE_ANIMALS,"bovine, ovine, caprine, porcine and asinine animals",
"<example correction=""donkeys"" type=""incorrect"">… and <marker>asinine</marker> animals.</example>",… and asinine animals.,group,4,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_BOVINE_OVINE_CAPRINE_PORCINE_ASININE_ANIMALS,"bovine, ovine, caprine, porcine and asinine animals",
"<example correction=""budget heading|budget item|budget title"" type=""incorrect"">These are DG and Culture (DG EAC) for <marker>budget line</marker> 15, …</example>","These are DG and Culture (DG EAC) for budget line 15, …",single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_BUDGET_LINE,budget line,
"<example correction=""private office|office"" type=""incorrect"">Go to the British <marker>cabinet</marker>.</example>",Go to the British cabinet.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_CABINET,cabinet,
"<example correction=""for|if|when|where"" type=""incorrect"">Farmers are… subject to possible reduction of the grubbing-up premium <marker>in case</marker> of non-compliance with certain requirements.</example>",Farmers are… subject to possible reduction of the grubbing-up premium in case of non-compliance with certain requirements.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_CASE,case (in case /in case of),
"<example correction=""the public|people|taxpayers"" type=""incorrect"">Tax on <marker>citizens</marker> travelling from airports within the EU.</example>",Tax on citizens travelling from airports within the EU.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_CITIZEN,citizen,
"<example correction=""consistent"" type=""incorrect"">The Framework Programme is <marker>coherent</marker> with the objectives of the SET-Plan.</example>",The Framework Programme is coherent with the objectives of the SET-Plan.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_COHERENT_COHERENCE,coherent/coherence,
"<example correction=""Court|Commission"" type=""incorrect"">… to be adopted by the <marker>College</marker> before the 2007 summer break.</example>",… to be adopted by the College before the 2007 summer break.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_COLLEGE,college,
"<example correction=""committee procedure"" type=""incorrect"">… in the framework of the now-abolished <marker>comitology</marker> procedure, to ensure that the new system operates properly.</example>","… in the framework of the now-abolished comitology procedure, to ensure that the new system operates properly.",single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_COMITOLOGY,comitology,
"<example correction=""powers|jurisdiction"" type=""incorrect"">This Directive fully respects the <marker>competences</marker> of Member States, …</example>","This Directive fully respects the competences of Member States, …",single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_COMPETENCES,competences,
"<example correction=""supplement|add to"" type=""incorrect"">They proposed a Regulation to <marker>complete</marker> Regulation (EC) No 1347/2000, aimed at facilitating…</example>","They proposed a Regulation to complete Regulation (EC) No 1347/2000, aimed at facilitating…",single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_COMPLETE,complete,
"<example correction=""With regard to|In respect of|In terms of"" type=""incorrect""><marker>Concerning</marker> the achievement[s] of the six EFA goals, the PEDP report reports that sound progress is being made…</example>","Concerning the achievement[s] of the six EFA goals, the PEDP report reports that sound progress is being made…",single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_CONCERN,"concern (concerning, for what concerns)",
"<example correction=""officials concerned"" type=""incorrect"">This list should not be used in order to target the <marker>concerned officials</marker> with a marketing campaign or to profile them…</example>",This list should not be used in order to target the concerned officials with a marketing campaign or to profile them…,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_CONCERNED,concerned,
"<example correction=""conditions"" type=""incorrect"">… possible for you to influence <marker>conditionalities</marker>.</example>",… possible for you to influence conditionalities.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_CONDITIONALITY,conditionality,
"<example correction=""talk|lecture|presentation"" type=""incorrect"">… the Medical Service is organizing a <marker>conference</marker> on Tuesday 12 October… A specialist doctor, M. Vic Arendt, will answer any of your questions.</example>","… the Medical Service is organizing a conference on Tuesday 12 October… A specialist doctor, M. Vic Arendt, will answer any of your questions.",single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_CONFERENCE,conference,
"<example correction=""considered"" type=""incorrect"">This increase is <marker>considered as</marker> adequate and in line with the rules.</example>",This increase is considered as adequate and in line with the rules.,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_CONSIDER_AS,consider as,
"<example correction=""Contract staff"" type=""incorrect"">… Temporary agents (officials seconded by the Commission and agents recruited by the agency) | <marker>Contractual agents</marker> | Seconded national experts | Total</example>",… Temporary agents (officials seconded by the Commission and agents recruited by the agency) | Contractual agents | Seconded national experts | Total,single,,MISUSED_TERMS_EU_PUBLICATIONS,Misused terms in EU publications (Gardner),style,EUPUB_CONTRACTUAL_AGENT,contractual (agent),
